OUTSTANDING SUPPORTING ACTRESS IN A COMEDY SERIES,Hannah Waddingham ,Rebecca Welton,Ted Lasso,Apple TV+
OUTSTANDING SUPPORTING ACTOR IN A COMEDY SERIES,Brett Goldstein,Roy Kent,Ted Lasso,Apple TV+
OUTSTANDING SUPPORTING ACTRESS IN A LIMITED OR ANTHOLOGY SERIES OR MOVIE,JULIANNE NICHOLSON ,Lori Ross,Mare Of Easttown,HBO
OUTSTANDING SUPPORTING ACTOR IN A LIMITED OR ANTHOLOGY SERIES OR MOVIE,EVAN PETERS ,Detective Colin Zabel,Mare Of Easttown,HBO
OUTSTANDING WRITING FOR A DRAMA SERIES,PETER MORGAN,,The Crown,NetFlix
OUTSTANDING DIRECTING FOR A DRAMA SERIES,Jessica Hobbs,,The Crown,NetFlix
OUTSTANDING SUPPORTING ACTRESS IN A DRAMA SERIES,GILLIAN ANDERSON ,Margaret Thatcher,The Crown,NetFlix
OUTSTANDING SUPPORTING ACTOR IN A DRAMA SERIES,TOBIAS MENZIES ,Prince Philip Duke Of Edinburgh,The Crown,NetFlix
OUTSTANDING WRITING FOR A VARIETY SERIES,,,Last Week Tonight With John Oliver,HBO
OUTSTANDING VARIETY TALK SERIES,,,Last Week Tonight With John Oliver,HBO
OUTSTANDING VARIETY SKETCH SERIES,,,SATURDAY NIGHT LIVE,NBC
OUTSTANDING WRITING FOR A COMEDY SERIES,,,Hacks,HBO Max
OUTSTANDING DIRECTING FOR A COMEDY SERIES,Lucia Aniello,,Hacks,HBO Max
OUTSTANDING LEAD ACTRESS IN A COMEDY SERIES,Jean Smart ,Deborah Vance,Hacks,HBO Max
OUTSTANDING LEAD ACTOR IN A COMEDY SERIES,JASON SUDEIKIS ,Ted Lasso,Ted Lasso,Apple TV+
OUTSTANDING COMPETITION PROGRAM,,,RUPAUL'S DRAG RACE,VH1
OUTSTANDING DIRECTING FOR A LIMITED OR ANTHOLOGY SERIES OR MOVIE,SCOTT FRANK,,The Queen's Gambit,NetFlix
